image,ground_truth,prediction,cer,wer,exact_match
images/v2_042068.jpg,"rơi vãi xung quanh, thợ nề có sơ xuất để nước chảy ra đường gây mất cảnh","rời vải xung, quanh, thợ nề có sẽ xuật để nước chảy ra đường gây mất cảnh",0.0694,0.2941,0
images/v2_018983.jpg,- K/n | là hiện tượng xã hội bao gồm những hành vi sai lệch chuẩn,- K/nh là hiện tượng xã hội bao gồm những hành vì sai lậch duấn,0.1077,0.3125,0
images/v2_035754.jpg,Có trách nhiệm thi hành đúng thề lệ quy định trong việc sử,Có trách nhiệm thi bành đúng thể lệ quy định trong việc sử,0.0345,0.1538,0
images/v2_041101.jpg,"""Thơ là sự thể hiện con người và thời đại một",+ Thơ là sự thể hiện con người và thời đại một,0.0444,0.1818,0
images/v2_032639.jpg,"với ba mẹ cho con, con để dành từ lớp 1","với ba mẹ cho con, con để dành từ lớp 1",0.0,0.0,1
images/v2_001984.jpg,Thành kính phân ưu côg môn đồ pháp quyến,Thành kính phân ưu ông môn đồ pháp quyến,0.05,0.1111,0
images/v2_041876.jpg,(Một Trăm năm mươi Triệu),(Một Trăn năm mươi Triệu),0.04,0.2,0
images/v2_040508.jpg,Khi hạnh phúc dạt dào trong nắm mới.,Phù hạnh phúc Bạnh Bào trong nắng cưới.,0.2778,0.625,0
images/v2_027301.jpg,thứ tôi cảm nhận được vẻ đẹp tâm hồn của mẹ. Đó là,"thức tôi cảm nhận được vẻ đẹp tâm hôn của mẹ Đó, là",0.08,0.3077,0
images/v2_037495.jpg,ngân hàng lớn... của tư bản đế quốc chủ nghĩa,"ngân hàng lớn của tri bản đổ quốc chủ n, hữa",0.2,0.5,0
images/v2_050263.jpg,2 giường cho bé và cho gia đình chăm sóc bé với đầy đủ,2 giường cho bé và cho gia đình chăm sôi bé với đấy chỉ,0.1111,0.2143,0
images/v2_013815.jpg,các bậc cha mẹ ủng hộ để tài liệu này đến với các em học sinh,các bậc cha mẹ ủng hộ để tài liệu này đến với các em học sinh,0.0,0.0,1
images/v2_042672.jpg,"mẹ mua sữa, mua quần áo cho con rồi mẹ lại vội đi.","mẹ mua sữa, mua quần áo cho con rồi mẹ lại vội đi.",0.0,0.0,1
images/v2_017344.jpg,to get a pass to climb Mt. Pu Si Lung. Taking the extra effort,to get apass to climb Mt. En Si Ling. Teleing the exere effort,0.1452,0.4286,0
images/v2_037799.jpg,"nhau vượt qua gian khó, không ai bị bỏ rơi,","nhau vượt qua gian khó, không ai bị bỏ rơi,",0.0,0.0,1
images/v2_050529.jpg,a) C/m t/giác AEHF là hcn,a) C/m t/giác AEHF là hcn,0.0,0.0,1
images/v2_042038.jpg,"nổi tiếng là ng thầy giáo giỏi, tính tình cứng cỏi,","nổi tiếng là ng khẩy giáo giỏi, tính tình cứng coi...",0.1176,0.1818,0
images/v2_002979.jpg,"Hoidap247.com - Hỏi đáp bài tập nhanh chóng, chính xác và luôn miễn phí","Hoidap247.com - Hỏi đáp bài tập nhanh chóng, chính xác vá luôn miễn phí",0.0141,0.0714,0
images/v2_005323.jpg,"Sở thích : Đi chơi cùng bạn bè, được làm","Sở thích: Ai chơi cùng bán bù, được làm",0.1,0.5,0
images/v2_001859.jpg,"khá sâu, nước lững thững như kẻ nhàn rỗ","khá sâu, nước lững thững như kẻ nhàn rỏ",0.0256,0.1111,0
images/v2_054082.jpg,"nghĩa cô đọng hàm súc, bài thơ ""Bánh trôi nc"" (của nữ sĩ Hồ Xuân","nghĩa cô đọng hàm rúc, bài thể ""Bánh trôi né"" (của nữ sĩ Hồ Xuân",0.0469,0.2,0
images/v2_002699.jpg,Bài ôn tập ở nhà phòng chống dịch bệnh,Bài ôn tập ở nhà phòng chống dịch bệnh,0.0,0.0,1
images/v2_036937.jpg,Em không đi đâu cả,Em không đi đâu cả,0.0,0.0,1
images/v2_055216.jpg,với một gói bim bim,với một gói bên bêm,0.1579,0.4,0
images/v2_022126.jpg,sát khuẩn thật ki khi về nhà để góp phần nhỏ,sắt khuẩn thật ki khi về nhà để góp phần nhỏ,0.0227,0.0909,0
images/v2_039658.jpg,con lại là học sinh xuất sắc nữa. Con nghĩ,con lại là học sinh xuất sắc nữa. Con nghi,0.0238,0.1,0
images/v2_047227.jpg,gia đình Của Bà Mầu nhiều lần Tại UBND Thành Phố Bảo đều biết rõ và cũng bị,gia đình của Bà Mẫu nhiều lần Tại UBMD Thành Phố Báo đều biết rẽ và cũng bị,0.0667,0.2778,0
images/v2_040925.jpg,Em cứ nghĩ sẽ chỉ đọc nó trên mạng. Và rồi nay đã,Em cứ nghĩ sẽ chỉ đọc nó trên mạng. Và rồi nay đã,0.0,0.0,1
images/v2_043170.jpg,...DT (chỉ vật) + which + V + O,DT (chỉ vật) + which + V + 0,0.129,0.2222,0
images/v2_011219.jpg,"Trong Thời gian Qua chúng Tôi đã được các y bác sĩ,",Trong Thời gian Qua chúng Tôi đã được các y bác sĩ,0.0196,0.0833,0
images/v2_010105.jpg,thứ hai 28 quả dưa. Hỏi xe thứ hai chở bao nhiêu quả dưa?,thứ hai 28 quả dưa. Hỏi xe thứ hai chở bao nhiêu quả dưa?,0.0,0.0,1
images/v2_038053.jpg,- Tháng 12/1408: Cuộc khởi nghĩa đã đánh tan 4,- Tháng 12/1408: Cuộc khỏi nghĩa đã đánh tan 4,0.0217,0.1,0
images/v2_038784.jpg,Vậy số kg gạo nếp bà Nam,Vậy số hgì gạo nấp bà Nam,0.125,0.2857,0
images/v2_011051.jpg,Con trai bất hiếu không được bên cha mẹ nữa rồi,con trai bất hiếu không được bên cha mẹ nữa rồi,0.0213,0.0909,0
images/v2_042007.jpg,Ngày 25/11/2009: đã ứng tiền anh chị,Ngày 25/17/200g: đã ứng tiền anh chị,0.0556,0.1429,0
images/v2_032936.jpg,Kính gửi: Lãnh đạo Bệnh viện Y học cổ truyền Bộ Công An.,Kính gửi: Lánh đạo Bệnh vuên Y học cổ truyền Bộ Công Aa.,0.0714,0.2308,0
images/v2_006122.jpg,hứa đấy nhé! Đàn ông phải thế!,hứa đấy nhẻ! Đàn ông phải thế!,0.0333,0.1429,0
images/v2_034962.jpg,Bài 4: Cho ba chữ số 2; 3; 4. Hãy lập tất cả các số thập,Bài 4: Cho ba chữ số 2; 3: 4. Hãy lập tất cả các số thập,0.0179,0.0625,0
images/v2_040267.jpg,"Từ pt: nCH3COONa=2nNa2CO3=0,3 mol","Từ pt: nCH3 COONa = 2nNa2CO3 = 0, 3 mol.",0.2121,2.0,0
images/v2_057034.jpg,Vì thế các phân tử bên trong quả bóng cao su hay,Vì thế các phân từ bên trong quả bóng cao sự hay,0.0417,0.1667,0
images/v2_040961.jpg,có điều kt kiện để tiếp tục đi học nữa. Em cảm,có điều kt kiên để tiếp tục đi học nữa. Em cảm,0.0217,0.0833,0
images/v2_008203.jpg,"di tích, nay đeo đuổi cái việc kìm níu","di tích, nay đeo đuổi cái việc trìm nữa",0.1053,0.2222,0
images/v2_017986.jpg,Câu 4. Chúng ta cần vươn lên từng ngày vì,Câu 7: Chúng ta cần vước lên từng ngày vì,0.0976,0.2,0
images/v2_057858.jpg,=> phương trình trên có 2 nghiệm: x1=1; x2=3,"=> phương trình trên có 2 nghiệm: x,=1; x2=3",0.0227,0.1111,0
images/v2_041619.jpg,cạnh đó để có được trọn vẹn kiến thức thì ta phải trải qua,cạnh đó để có được tran vẹn kiến thức thì ra phải trải qua,0.0345,0.1429,0
images/v2_012864.jpg,Tục ngữ: cây ngay không sợ chết đứng.,Sục ngữ: Cây ngay không sợ chết đứng.,0.0541,0.25,0
images/v2_016423.jpg,Bài làm đề xuất giải pháp.,Bài làm tố xuất giải pháp.,0.0769,0.1667,0
images/v2_005168.jpg,- Nỗi nhớ quê hương của tg' được thể hiện ntn?,- Nỗi nhớ quê hương của tỷ được thể hiện nin ?,0.087,0.2727,0
images/v2_055439.jpg,bình cộng hai cạnh liên tiếp là 24m và chiều dài,Bình công hai cạnh hôn tiếp là 24m và chiều dài,0.1042,0.2727,0
images/v2_018615.jpg,Chăm lo cho những búp non đâm chồi,Chăm lo cho những búp non đâm chồi,0.0,0.0,1
images/v2_034006.jpg,Nổi bật trên hoa văn trống đồng là hình ảnh con người hòa,Nói bật trên hoa văn trống đồng là hình ảnh con người hoa,0.0351,0.1538,0
images/v2_022676.jpg,-> Diễn tả sự việc không có thật ở QK,-> Diễn tả sự việc không có thật ở QK,0.0,0.0,1
images/v2_014776.jpg,"được làm bằng chất liệu gì, nhưng cầm lên thì rất nhẹ","được làm bằng chất liệu gì, nhưng cầm lên thì rất nhẹ",0.0,0.0,1
images/v2_046486.jpg,nhớ các anh hùng liệt sĩ đã hy sinh khi bảo vệ,nhớ các anh hùng liệt sĩ đã hy sinh khi bảo vệ,0.0,0.0,1
images/v2_021145.jpg,HƯỚNG DẪN ÔN TẬP THÁNG 2 - ĐẠI SỐ 10 CƠ BẢN,HƯỚNG DẦN ÔN TẬP THÁNG 2 - ĐẠI SỐ 10 CƠ BẢN,0.0233,0.0833,0
images/v2_010614.jpg,Số tiền sau khi hạ giá là:,Số tiền sau khi hạ giả là:,0.0385,0.1429,0
images/v2_010790.jpg,I am writing to apply for,"I am windôi, to apply from",0.32,0.3333,0
images/v2_019931.jpg,"không tốt lắm vì thế ngoài việc học online mấy cô, em còn","không tốt lắn vì thế ngoài việc học nhine mấy cô, em còn",0.0526,0.1538,0
images/v2_010028.jpg,xét hai tam giác ADM và DEE /Sai,xét hai tam giác AĐH và ĐEC - ISai,0.2188,0.5,0
images/v2_033954.jpg,Móc từng sợi bính vào đầu và thân theo,Nác từng sợi bính vào đầu và thân theo,0.0526,0.1111,0
images/v2_008137.jpg,"Bên trong vẻ ngoài cộc cằn, Tràng là 1 con người vô tư","Bên trong vẻ ngài các cầu, Tràng là 1 con người vô tự",0.0926,0.3077,0
images/v2_054486.jpg,làm vậy chỉ vì sợ em bị bắt cóc thôi. Lần đó em đã rất hối hận và,làm vậy chỉ vì sơ em bí bất các thôi. Lõi đé em đã rất hối hôn vệ,0.1385,0.4444,0
images/v2_003631.jpg,Số báo đặc biệt: Mừng ngày Nhà giáo Việt Nam,Số báo đặc biệt: Mừng ngày Nhà giáo Việt Nam,0.0,0.0,1
images/v2_032955.jpg,khá dài và mệt mỏi rồi đúng không a. Lời đầu tiên cháu,"khá dài và mệt mỏi rồi đúng không ạ. Lời đầu trên, cháu",0.0556,0.1538,0
images/v2_028352.jpg,- Đất đai khô cằn nên chỉ trồng nho và ô liu.,- Đất đai khô căn nên chỉ trồng nho và ô liu.,0.0222,0.0833,0
images/v2_008456.jpg,Tôi viết giấy này để cam kết lại sự việc tôi,Tôi việt giấy này để cam kết lại sự việc tôi,0.0227,0.0909,0
images/v2_050317.jpg,"+ Vốn hiểu biết phong phú, sâu sắc về đs nd Tây Nguyên","+ Vốn hiểu biết phong phú, sâu sắc về đend Tây Nguyên",0.037,0.1538,0
images/v2_011925.jpg,đồng mình làm nên vật phẩm mà còn ý chỉ một quá trình,đồng mình làm nên vật phẩm mà còn ý chỉ một quá hành,0.0566,0.0769,0
images/v2_038521.jpg,SỐ BÁO ĐẶC BIỆT CHÀO MỪNG NGÀY NHÀ GIÁO,SỐ BÁO ĐẶC BIỆT CHÀO MỪNG NGÀY NHÀ GIAO,0.0256,0.1111,0
images/v2_041929.jpg,Cho bao thế hệ góp phần dựng xây,"Cho bao thế hệ góp phần dựng, xây",0.0312,0.125,0
images/v2_036130.jpg,thói hư tật xấu. Còn nếu tiếp xúc với người tốt,thói hư tật xấu. Côn nêu tiếp xúc với người tốt.,0.0638,0.2727,0
images/v2_051135.jpg,của cuộc sống. Vậy nên khi bàn về truyện ngắn có ai đó,của cuộc sống. Vậy nên khi bàn về truyện ngấn có ai đó,0.0185,0.0769,0
images/v2_054332.jpg,móng rồng bụ bẫm thơm như mùi mít chín ở góc vườn,mông rồng bụ bẩm thơm như mùi mít chin ở gốc vườn,0.0816,0.3333,0
images/v2_008410.jpg,cùng nhau đi xuống biển chơi rất vui. Trong lúc,cùng nhau đi xuống biến chơi rất vui. Trong lúc,0.0213,0.1,0
images/v2_022578.jpg,Cô giảm thị lực khi đọc chữ của,Cô giảm thị lực khi đọc chữ của,0.0,0.0,1
images/v2_033905.jpg,"còn là bạn thơ ấu, người bạn hàng xóm cạnh nhà","còn là bạn thơ ấu, người bạn hàng xóm cạnh nhà",0.0,0.0,1
images/v2_044571.jpg,"nếu bánh xe lăn trên mặt đất được 10 vòng,","nếu bánh xe làn trên mặt đất được 10 vòng,",0.0238,0.1,0
images/v2_030528.jpg,"Cuối cùng xin chúc cả lớp 12A6 đổ hết NV1, sau",Cuối cùng xin chúc cả lớp 12A0 đổ hết NV1 xeu,0.087,0.2727,0
images/v2_029489.jpg,- Diện tích xung quanh Hình hộp chữ nhật,- Diện tích xung quanh Hình hộp chữ nhật,0.0,0.0,1
images/v2_004860.jpg,làm tròn nhiệm vụ.,"là na tròn nhiệm vụ,",0.2222,0.75,0
images/v2_042096.jpg,"I, thế nào là sự ăn mòn của kloại","I, thế nào là sự ơn mòn của Hoạt",0.1212,0.2222,0
images/v2_020776.jpg,Cùng các cơ quan ban nghành có thẩm quyền đang thụ lý,Công Các cơ quan ban nghành có thẩm quyền đang thụ lý,0.0377,0.1667,0
images/v2_008213.jpg,Will tomorrow. He go to,"9 will tomausew, I'll go to",0.5217,0.8,0
images/v2_004833.jpg,được tất cả mà bắt ta phải lựa chọn hay bản,được tất cả mà bắt ta phải lựa chọn hay bản,0.0,0.0,1
images/v2_037676.jpg,"người dân. Đặc biệt lũ còn cuốn, vùi lấp viết bao","người dân. Đặc biệt lù còn cuốn, vùi lấp viết bao",0.0204,0.0909,0
images/v2_053958.jpg,"Từ (1), (2) => GEC + GCE = 90°","Từ 0, (-) => GEC + GCE-90°",0.2333,0.5556,0
